fold,model,R2,RMSE,MAE,time_s
21,Ridge,0.7910591872038274,0.21765578694331983,0.18684609246661218,0.0
21,Lasso,0.7821978160988059,0.2222233517277622,0.19346108371677403,0.010411500930786133
21,ElasticNet,0.7862140134472771,0.22016495747451945,0.190666252432234,0.0
21,SVR,0.7294796455913132,0.2476615304972403,0.2204747080773443,0.0020051002502441406
21,KNN,0.798724011741423,0.2136262231867956,0.18688225641471348,0.0
21,RF,0.7947984128614125,0.21569939964977633,0.18734446182264897,0.07975625991821289
21,GBR,0.7345640233257043,0.2453231155849883,0.20561386478476146,0.03495955467224121
21,XGBoost,0.7595270053603247,0.23350260739408074,0.1857634037084412,0.11284017562866211
21,AdaBoost,0.7579399683220813,0.23427185775507897,0.20998951059497825,0.12651395797729492
21,MLP,0.7428537695091619,0.24146192563940738,0.20091507080272236,0.12463974952697754
22,TabPFN,0.9063502932541001,0.12233054163396588,0.10033437796865682,9.122515201568604
22,Ridge,0.8461558622203467,0.1567913732282542,0.10885584405523512,0.0
22,Lasso,0.8436553469176467,0.15806044646233375,0.10804321968276961,0.009721994400024414
22,ElasticNet,0.8455202174822805,0.1571149503198942,0.10685448625092836,0.0
22,SVR,0.8441400119151152,0.15781526434037557,0.13867022242708338,0.002006053924560547
22,KNN,0.8380282189488975,0.16087974403829142,0.13300552454699835,0.0
22,RF,0.7816410332375415,0.18679584126132626,0.14339689853018675,0.06777334213256836
22,GBR,0.7909740118850165,0.18276028654793477,0.1300164279515097,0.04751157760620117
22,XGBoost,0.7931501568105502,0.1818064495804239,0.12236614799323692,0.11825251579284668
22,AdaBoost,0.7992949939374185,0.17908565110606012,0.12777126145351062,0.06310153007507324
22,MLP,0.6724603009157397,0.2287776847582293,0.15615446440709338,0.08932733535766602
23,TabPFN,0.7583306188091397,0.2411753136776493,0.1992245331594552,9.234174966812134
23,Ridge,0.6531525189029224,0.2889291164269679,0.24974056557273872,0.010794878005981445
23,Lasso,0.6625941272434364,0.2849694838423979,0.25009304746074756,0.0
23,ElasticNet,0.6582747902301318,0.2867877167857728,0.249910216171919,0.0020058155059814453
23,SVR,0.5677612575539903,0.3225402234812481,0.24458198753182245,0.0
23,KNN,0.7438837166281627,0.24827936873613018,0.19174266009076432,0.0020051002502441406
23,RF,0.7945129418428907,0.22238949791747947,0.17711821426469201,0.06425261497497559
23,GBR,0.8107056540398542,0.213447394638322,0.16098357198841606,0.03200411796569824
23,XGBoost,0.8297317101653856,0.20243654848464002,0.15280729347945401,0.11695528030395508
23,AdaBoost,0.8010477131455074,0.21882478214979778,0.1654305974040161,0.07370185852050781
23,MLP,0.4534051128133476,0.3627060665244639,0.3038778793200218,0.12267303466796875
24,TabPFN,0.6851586585796878,0.22156992604183173,0.1850511496266791,8.721883535385132
24,Ridge,0.5858139322820337,0.25413394531906963,0.2098922259521173,0.010445833206176758
24,Lasso,0.596698309838074,0.2507725272411416,0.20665113705146906,0.0
24,ElasticNet,0.5922451906985654,0.25215319865923835,0.2079118330877081,0.0
24,SVR,0.5158764100282519,0.2747533891361708,0.2294989081187532,0.0020058155059814453
24,KNN,0.39456880046780396,0.30725385072294137,0.24558966752563272,0.0020051002502441406
