fold,model,n_train,R2
3,Ridge,40,0.6381624845012124
3,GBR,40,0.8471186108044682
3,MLP,40,0.5486458936470867
3,TabPFN,45,0.9726542268836899
3,RF,45,0.9207361827736753
3,XGBoost,45,0.9288234605452665
3,SVR,45,0.6910631615099754
3,Ridge,45,0.5386448884982051
3,GBR,45,0.8950243677296602
3,MLP,45,0.8736082034637427
3,TabPFN,48,0.9722050361743378
3,RF,48,0.9185027654770137
3,XGBoost,48,0.9379722753906692
3,SVR,48,0.70024990547464
3,Ridge,48,0.5350519662747447
3,GBR,48,0.8834720575698581
3,MLP,48,0.7628466626070408
4,TabPFN,10,0.8285917831351359
4,RF,10,0.7690914574574161
4,XGBoost,10,0.55719133970441
4,SVR,10,0.6498205307519853
4,Ridge,10,0.5106941861616765
4,GBR,10,0.6986107985444207
4,MLP,10,-0.8795489459120411
4,TabPFN,15,0.8426300719060443
4,RF,15,0.878312596800168
4,XGBoost,15,0.6375627263136486
4,SVR,15,0.6685204570589569
4,Ridge,15,0.7459853700081451
4,GBR,15,0.7837551686740114
4,MLP,15,-0.5666670882375429
4,TabPFN,20,0.8675281133508472
4,RF,20,0.904528769445643
4,XGBoost,20,0.5363805388259544
4,SVR,20,0.7224192258467799
4,Ridge,20,0.7183106773286267
4,GBR,20,0.7216307744883319
4,MLP,20,0.5496868255925516
4,TabPFN,25,0.8358584523031615
4,RF,25,0.8447478801135958
4,XGBoost,25,0.9096960019776296
4,SVR,25,0.5946347134503135
4,Ridge,25,0.27685515884546796
4,GBR,25,0.7535903988749023
4,MLP,25,-4.53684528500259
4,TabPFN,30,0.8510852163727637
4,RF,30,0.8399642936210742
4,XGBoost,30,0.8809691032047026
4,SVR,30,0.76591797384785
4,Ridge,30,0.633858616730139
4,GBR,30,0.7412563380984223
4,MLP,30,0.6838102379398268
4,TabPFN,35,0.871600677612611
4,RF,35,0.8864579363340682
4,XGBoost,35,0.924114515645385
4,SVR,35,0.7536401326389335
4,Ridge,35,0.6693623340170942
4,GBR,35,0.7302999377996624
4,MLP,35,-0.8052043546207919
4,TabPFN,40,0.8588792698480701
4,RF,40,0.8357267475657861
4,XGBoost,40,0.9089568529733209
4,SVR,40,0.8168132552681796
4,Ridge,40,0.7044980935452011
4,GBR,40,0.7108847967124662
4,MLP,40,0.7242917124389563
4,TabPFN,45,0.8536368879618457
4,RF,45,0.8363536587315047
4,XGBoost,45,0.905880274190072
4,SVR,45,0.7682678423158181
4,Ridge,45,0.7017997996644091
4,GBR,45,0.7313344785341425
4,MLP,45,-0.7386826784155547
4,TabPFN,48,0.8554173717176968
4,RF,48,0.8234075465510353
4,XGBoost,48,0.9032347825690777
4,SVR,48,0.764385263208011
4,Ridge,48,0.7143682786272146
4,GBR,48,0.7276792137374748
4,MLP,48,0.40173488054659334
